distance,angle,raw_angle,time,speed
22.11012,50.88867,579,806033,-1.972959
22.12677,27.33398,311,806046,-1.281049
22.14405,2.900391,33,806059,-1.328849
22.37745,333.0176,3789,806072,17.9538
22.40398,295.4883,3362,806085,-2.041074
22.42958,259.2773,2950,806098,-2.133488
22.45096,229.043,2606,806110,-1.644331
22.46892,203.6426,2317,806123,-1.381429
22.48489,181.0547,2060,806136,-1.228468
22.50048,158.9941,1809,806149,-1.199788
22.52335,126.6504,1441,806162,-1.759052
22.552,86.13281,980,806175,-2.203595
22.5758,52.4707,597,806188,-1.983315
22.59301,28.125,320,806201,-1.324069
22.61259,0.4394531,5,806215,-1.304949
22.84499,329.1504,3745,806228,17.87732
22.87183,291.1816,3313,806241,-2.064974
22.89681,255.8496,2911,806254,-1.921573
22.91769,226.3184,2575,806267,-1.739932
22.93584,200.6543,2283,806279,-1.395769
22.95131,178.7695,2034,806292,-1.190228
22.96759,155.7422,1772,806305,-1.252368
22.99071,123.0469,1400,806318,-1.778172
23.02004,81.5625,928,806331,-2.256176
23.04285,49.30664,561,806344,-1.754272
23.05944,25.83984,294,806357,-1.382624
23.0769,1.142578,13,806369,-1.343189
23.30968,330.3809,3759,806382,17.906
23.33603,293.1152,3335,806395,-2.026734
23.36163,256.9043,2923,806408,-1.969374
23.38301,226.6699,2579,806421,-1.644331
23.40115,201.0059,2287,806434,-1.512084
23.41662,179.1211,2038,806447,-1.190228
23.43296,156.0059,1775,806459,-1.257149
23.45571,123.8379,1409,806472,-1.749492
23.48553,81.65039,929,806485,-2.294416
23.50803,49.83398,567,806498,-1.730372
23.52487,26.01563,296,806511,-1.295389
23.54246,1.142578,13,806524,-1.352749
23.77151,325.1074,3699,806538,16.36069
23.79804,287.5781,3272,806551,-2.041074
23.82339,251.7188,2864,806564,-1.950253
23.84402,222.5391,2532,806577,-1.586971
23.86154,197.7539,2250,806590,-1.347969
23.87652,176.5723,2009,806603,-1.151988
23.89404,151.7871,1727,806616,-1.347969
23.91797,117.9492,1342,806629,-1.993672
23.94767,75.9375,864,806642,-2.284856
23.96892,45.87891,522,806654,-1.634771
23.98551,22.41211,255,806667,-1.276269
24.22233,357.3633,4066,806680,18.2167
24.2457,324.3164,3690,806693,-1.797292
24.27204,287.0508,3266,806706,-2.026734
24.2974,251.1914,2858,806719,-2.112774
24.31778,222.3633,2530,806731,-1.567851
24.33555,197.2266,2244,806744,-1.367089
24.35046,176.1328,2004,806757,-1.147208
24.36811,151.1719,1720,806770,-1.357529
24.39216,117.1582,1333,806783,-1.849873
24.4218,75.23438,856,806796,-2.280076
24.44312,45.08789,513,806809,-1.639551
24.45971,21.62109,246,806822,-1.382624
24.69646,356.4844,4056,806834,18.21193
24.71995,323.2617,3678,806847,-1.806852
24.74655,285.6445,3250,806860,-2.045854
24.77526,245.0391,2788,806875,-1.913925
24.7952,216.8262,2467,806888,-1.53439
24.81248,192.3926,2189,806901,-1.328849
24.82727,171.4746,1951,806914,-1.137648
24.84585,145.1953,1652,806927,-1.42923
24.87226,107.8418,1227,806940,-2.200807
24.90066,67.67578,770,806952,-2.184475
